Year,Country,Population (in millions),ln(population),Real GDP(in million $),ln(real gdp),Per Capita Real GDP,ln(per capita real gdp)
1980,Aruba,0.06009599939,-2.811812006,1020.158325,6.927713115,16975.47816,9.739525121
1980,Angola,8.929900169,2.189405216,25335.56836,10.13996455,2837.161433,7.950559336
1980,Anguilla,0.00670199981,-5.005349318,78.45661926,4.362545851,11706.44904,9.367895169
1980,Albania,2.68123889,0.98627896,9050.260742,9.110548848,3375.402608,8.124269888
1980,United Arab Emirates,1.042384028,0.0415104248,264067,12.48395814,253329.86,12.44244771
1980,Argentina,28.10588837,3.335979105,111813.9609,11.62459171,3978.310861,8.288612601
1980,Antigua and Barbuda,0.07344199717,-2.611259338,419.1360168,6.03819549,5707.034571,8.649454828
1980,Australia,14.64911366,2.684379832,324801.1563,12.69096845,22172.06883,10.00658861
1980,Austria,7.609752178,2.029430606,134577.75,11.80989738,17684.90574,9.780466772
1980,Burundi,4.116816998,1.415080291,3617.510498,8.193541361,878.7154008,6.778461069
1980,Belgium,9.868994713,2.289397995,201185.1719,12.21198102,20385.57905,9.922583021
1980,Benin,3.717164993,1.312961279,7508.220215,8.923753728,2019.878114,7.610792449
1980,Burkina Faso,6.822843075,1.920276258,6696.185547,8.809293322,981.4362537,6.889017064
1980,Bangladesh,81.47086334,4.400245451,98328.91406,11.4960734,1206.921223,7.095827953
1980,Bulgaria,8.878774643,2.183663557,59977.42969,11.0017236,6755.147202,8.818060042
1980,Bahrain,0.3598879874,-1.021962442,8609.05957,9.060570366,23921.49744,10.08253281
1980,Bahamas,0.2106609941,-1.557505101,4932.156738,8.503531644,23412.76685,10.06103674
1980,Belize,0.1441549957,-1.936866199,602.4486084,6.401002364,4179.172602,8.337868564
1980,Bermuda,0.05699200183,-2.86484434,26039.80664,10.16738167,456902.825,13.03222601
1980,Bolivia (Plurinational State of),5.589574814,1.720903222,12483.91504,9.432196298,2233.428383,7.711293075
1980,Brazil,121.1597595,4.797110001,646020,13.37858574,5331.968325,8.581475741
1980,Barbados,0.2521939874,-1.377556696,2911.020996,7.976259156,11542.78509,9.353815853
1980,Brunei Darussalam,0.193948999,-1.640160046,16893.5,9.734684212,87102.79549,11.37484426
