Year,Country,Population (in millions),ln(population),Real GDP(in million $),ln(real gdp),Per Capita Real GDP(US$ per person),ln(per capita real gdp)
1985,Aruba,0.06302600354,-2.764207883,1576.163574,7.362749056,25008.1472,10.12695694
1985,Angola,10.60904217,2.361706672,28720.04297,10.26535052,2707.128741,7.903643847
1985,Anguilla,0.006661999971,-5.011335544,91.80814362,4.519701004,13780.86821,9.531036548
1985,Albania,2.966798067,1.087483279,9950.552734,9.20538338,3353.970344,8.1179001
1985,United Arab Emirates,1.391052008,0.3300603009,194064.3906,12.17594529,139509.0835,11.84588499
1985,Argentina,30.3887825,3.414073544,133327.2344,11.80056179,4387.383218,8.386488251
1985,Antigua and Barbuda,0.06978199631,-2.662379235,433.4667358,6.071815059,6211.727362,8.734194294
1985,Australia,15.72964287,2.755547013,374576,12.83355,23813.38236,10.07800299
1985,Austria,7.614868164,2.030102674,140056.1563,11.84979874,18392.45976,9.819696064
1985,Burundi,4.702065945,1.548001975,4380.504883,8.384919267,931.6128133,6.836917292
1985,Belgium,9.916578293,2.294207932,170603.2969,12.04709624,17203.84712,9.752888307
1985,Benin,4.278501034,1.453602722,7867.987793,8.970557628,1838.958956,7.516954906
1985,Burkina Faso,7.727907181,2.044838086,7190.430664,8.880506347,930.4499259,6.83566826
1985,Bangladesh,93.19986725,4.534746297,117072.6875,11.67055028,1256.146505,7.135803984
1985,Bulgaria,8.975291252,2.194475385,77476.39063,11.25772853,8632.186795,9.063253146
1985,Bahrain,0.4194299877,-0.8688586617,3950.461914,8.281587791,9418.644423,9.150446453
1985,Bahamas,0.2346870005,-1.449502565,5683.643555,8.645347777,24217.97348,10.09485034
1985,Belize,0.1649210006,-1.802288704,615.1000366,6.421784916,3729.664715,8.22407362
1985,Bermuda,0.05891999975,-2.831574692,20962.34766,9.950483139,355776.4383,12.78205783
1985,Bolivia (Plurinational State of),6.211550236,1.8264105,13773.95215,9.530534562,2217.474161,7.704124062
1985,Brazil,135.6762848,4.91027179,731457.125,13.50279389,5391.19365,8.592522096
1985,Barbados,0.2559239864,-1.362874807,2699.255615,7.900731316,10547.09898,9.263606123
1985,Brunei Darussalam,0.2245119959,-1.493826139,14195.21582,9.560660273,63226.98154,11.05448641
1985,Bhutan,0.4671779871,-0.7610449652,1131.201172,7.031035331,2421.349471,7.792080296
1985,Botswana,1.189113975,0.1732084706,4280.506836,8.361826701,3599.744791,8.188618231
1985,Central African Republic,2.634232044,0.9685916952,3056.676758,8.025083578,1160.367313,7.056491883
1985,Canada,25.87394905,3.253236634,693214.1875,13.4490943,26791.97467,10.19585767
1985,Switzerland,6.456223965,1.865044621,200398.875,12.20806503,31039.64114,10.34302041
1985,Chile,12.18102837,2.499879689,68597.50781,11.13601148,5631.503823,8.636131794
1985,China,1070.863403,6.976220521,2617153.75,14.77759793,2443.966002,7.801377409
1985,Côte d'Ivoire,10.22255802,2.324596849,24688.07031,10.11407542,2415.057979,7.789478574
1985,Cameroon,10.05002308,2.307574931,32272.95117,10.38198473,3211.231548,8.074409802
1985,D.R. of the Congo,29.88344574,3.397304673,58802.10938,10.98193301,1967.715165,7.584628334
1985,Congo,2.127769947,0.755074458,9284.380859,9.13608879,4363.43265,8.381014332
1985,Colombia,31.01168823,3.434364173,197482.875,12.19340715,6368.014328,8.759042978
1985,Comoros,0.3553369939,-1.034688661,1502.843018,7.315113938,4229.345785,8.349802599
1985,Cabo Verde,0.31506899,-1.154963648,554.9654541,6.318905867,1761.409316,7.473869515
1985,Costa Rica,2.730232954,1.004386937,18822.89844,9.84282941,6894.246299,8.838442473
1985,Cayman Islands,0.01931300014,-3.946976827,711.3493042,6.567163595,36832.66706,10.51414042
1985,Cyprus,0.5411000252,-0.6141511278,8836.78418,9.086678309,16331.14723,9.700829437
1985,Germany,77.71743011,4.353079558,1478414.625,14.20648087,19022.94791,9.853401314
1985,Djibouti,0.4256129861,-0.854224829,1440.394775,7.272672505,3384.282958,8.126897334
1985,Dominica,0.07364299893,-2.608526199,483.7260437,6.181518721,6568.527229,8.79004492
1985,Denmark,5.114243031,1.632029398,111434.4688,11.62119197,21789.04446,9.989162575
1985,Dominican Republic,6.488855839,1.870086219,29778.84961,10.30155368,4589.22965,8.431467457
1985,Algeria,22.56590462,3.116440122,266810.625,12.49429442,11823.61751,9.377854294
1985,Ecuador,9.045978546,2.202320299,57875.63672,10.96605179,6397.940966,8.763731494
1985,Egypt,50.20498657,3.916114356,92199.97656,11.43171516,1836.470495,7.515600799
1985,Spain,38.83588409,3.659344667,473920.8438,13.06879559,12203.16866,9.409450923
1985,Ethiopia,40.80034256,3.708690477,36441.33203,10.5034589,893.1624037,6.794768427
1985,Finland,4.911220074,1.591522398,98000.02344,11.492723,19954.31318,9.901200598
1985,Fiji,0.7116609812,-0.340153631,3379.588135,8.125509127,4748.873725,8.465662758
1985,France,56.81077194,4.039725955,1163530.125,13.96696915,20480.80118,9.927243198
1985,Gabon,0.8300849795,-0.1862271985,9520.269531,9.161178439,11469.03,9.347405638
1985,United Kingdom,56.4661293,4.033640977,1157058.375,13.96139146,20491.19338,9.927750482
1985,Ghana,12.71622753,2.542878936,33034.31641,10.40530219,2597.807905,7.862423255
1985,Guinea,5.084766865,1.626249181,16168.50488,9.690820486,3179.792764,8.064571305
1985,Gambia,0.7320960164,-0.3118436037,2097.773438,7.648631793,2865.434848,7.960475397
1985,Guinea-Bissau,0.8995090127,-0.105906206,921.1644897,6.825638619,1024.074775,6.931544825
1985,Equatorial Guinea,0.3588959873,-1.024722662,784.7838135,6.665408283,2186.660875,7.690130945
1985,Greece,9.974739075,2.300055805,139607.2188,11.84658818,13996.07726,9.546532374
1985,Grenada,0.09990599751,-2.30352556,359.155426,5.883755236,3594.933587,8.187280796
1985,Guatemala,8.240059853,2.109007608,27431.28125,10.21943929,3329.014806,8.110431685
1985,"China, Hong Kong SAR",5.337622166,1.674780266,88697.8125,11.39299051,16617.4768,9.71821024
1985,Honduras,4.281188965,1.454230767,10931.86523,9.299437219,2553.464779,7.845206453
1985,Haiti,6.384194851,1.853825381,9333.592773,9.141375297,1461.984321,7.287549916
1985,Hungary,10.56681728,2.357718646,110519.1406,11.612944,10459.07558,9.255225357
1985,Indonesia,165.6791382,5.110053015,414973.8438,12.93597077,2504.683742,7.825917755
1985,India,781.666687,6.661428418,807024.625,13.60110946,1032.440858,6.939681043
1985,Ireland,3.564959049,1.271152567,44511.87109,10.7035112,12485.94177,9.432358632
1985,Iran (Islamic Republic of),47.34270096,3.857412657,143828.0781,11.87637396,3038.020122,8.018961306
1985,Iraq,15.57639503,2.74575663,68254.9375,11.13100505,4381.947,8.385248425
1985,Iceland,0.2415820062,-1.420546293,6116.977051,8.718823308,25320.49943,10.1393696
1985,Israel,4.082787037,1.406779852,72472.875,11.19096763,17750.83401,9.78418778
1985,Italy,57.01235199,4.043267946,1093112.5,13.90453969,19173.25741,9.861271744
1985,Jamaica,2.338638067,0.8495687374,8093.103027,8.9987675,3460.605188,8.149198762
1985,Jordan,2.895984888,1.063325256,11652.95898,9.363315417,4023.832801,8.299990161
1985,Japan,121.8940353,4.803152105,2244670.75,14.62406941,18414.9351,9.820917305
1985,Kenya,19.65122414,2.978139633,40626.08203,10.61216555,2067.356301,7.634025921
1985,Cambodia,7.712977886,2.04290435,6203.693848,8.732900176,804.3188946,6.689995826
1985,Saint Kitts and Nevis,0.0420130007,-3.169776168,345.3723755,5.844623184,8220.607187,9.014399352
1985,Republic of Korea,40.80857086,3.708892129,270558.75,12.50824454,6629.949157,8.799352415
1985,Kuwait,1.738994002,0.5533067865,56933.46484,10.94963858,32739.31064,10.3963318
1985,Lao People's DR,3.687897921,1.305056627,3858.587158,8.258056374,1046.283612,6.952999748
1985,Lebanon,2.676583052,0.9845410003,21741.5957,9.986982557,8122.892241,9.002441557
1985,Liberia,2.192554951,0.785067508,2846.333984,7.953787124,1298.181368,7.168719616
1985,Saint Lucia,0.1264179945,-2.068161446,824.6030884,6.714902166,6522.83001,8.783063611
1985,Sri Lanka,16.17979622,2.783763317,42357.05469,10.65389027,2617.897909,7.87012695
1985,Lesotho,1.472192049,0.3867524799,2890.993652,7.969355546,1963.734048,7.582603066
1985,Luxembourg,0.3668839931,-1.002709576,8208.395508,9.012912752,22373.27237,10.01562233
1985,"China, Macao SAR",0.2835809886,-1.260257522,4427.253906,8.395534785,15611.95596,9.655792307
1985,Morocco,22.5373764,3.115175104,77153.19531,11.25354827,3423.344134,8.138373169
1985,Madagascar,10.06349468,2.308914488,13634.67578,9.520371517,1354.864906,7.211457028
