Country,Average Rate of growth of real gdp per capita
Aruba,0.07748636367
Angola,-0.009383097745
Anguilla,0.03262827569
Albania,-0.001273957431
United Arab Emirates,-0.1193125441
Argentina,0.01957512984
Antigua and Barbuda,0.01694789322
Australia,0.01428287416
Austria,0.007845858368
Burundi,0.01169124456
Belgium,-0.03393894264
Benin,-0.01876750866
Burkina Faso,-0.01066976065
Bangladesh,0.007995206332
Bulgaria,0.04903862095
Bahrain,-0.1864172711
Bahamas,0.006762719563
Belize,-0.02275898882
Bermuda,-0.05003363605
Bolivia (Plurinational State of),-0.001433802712
Brazil,0.002209271017
Barbados,-0.01804194607
Brunei Darussalam,-0.06407156909
Bhutan,0.05261671335
Botswana,0.1132224985
Central African Republic,0.02993130661
Canada,0.01689514985
Switzerland,0.003994984336
Chile,-0.03279673859
China,0.05845029015
Côte d'Ivoire,0.003369492191
Cameroon,0.07689543999
D.R. of the Congo,-0.003812039037
Congo,0.06129271447
Colombia,-0.01758949159
Comoros,0.01686492486
Cabo Verde,0.01841440135
Costa Rica,-0.02247866784
Cayman Islands,-0.0003414703025
Cyprus,0.03216996553
Germany,-0.005293692023
Djibouti,-0.03602188751
Dominica,0.03994185066
Denmark,0.005657573452
Dominican Republic,0.04287343311
Algeria,0.0236731455
Ecuador,-0.02266470199
Egypt,0.06228254282
Spain,-0.0327242269
Ethiopia,0.04701450386
Finland,0.009857257483
Fiji,-0.03718048059
France,-0.01800606847
Gabon,-0.02661640952
United Kingdom,0.006459566307
Ghana,-0.04650220153
Guinea,-0.008969178437
Gambia,0.0114752899
Guinea-Bissau,-0.04099611836
Equatorial Guinea,-0.01692882864
Greece,-0.003724708377
Grenada,-0.002099811224
Guatemala,-0.02361227355
"China, Hong Kong SAR",0.02199959831
Honduras,-0.01511791035
Haiti,-0.03725704408
Hungary,0.004982120403
Indonesia,0.02483052499
India,-0.02376063129
Ireland,-0.001024478946
Iran (Islamic Republic of),-0.006815547974
Iraq,-0.06867650068
Iceland,0.001248409919
Israel,0.01396652947
Italy,-0.006454790042
Jamaica,-0.04015948523
Jordan,-0.006775608917
Japan,-0.006054819854
Kenya,0.001618828263
Cambodia,-0.00533761876
Saint Kitts and Nevis,0.02204538585
Republic of Korea,0.06331891137
Kuwait,-0.1103084525
Lao People's DR,0.05149102577
Lebanon,0.07051752585
Liberia,-0.07036522609
Saint Lucia,-0.003427127496
Sri Lanka,0.02217317471
Lesotho,-0.0009870121755
Luxembourg,-0.01385616281
"China, Macao SAR",0.02837659316
Morocco,0.0510807173
Madagascar,-0.01455544337
Maldives,0.03525447798
Mexico,-0.0111826058
Mali,0.06557451292
Malta,0.02643935362
Myanmar,0.02930771647
Mongolia,0.04370412697
Mozambique,-0.06337592774
Mauritania,-0.03495031141
Montserrat,0.02546059994
Mauritius,0.03154179314
Malawi,0.03792336699
Malaysia,0.01189640305
Namibia,-0.01426865304
Niger,-0.07856677098
Nigeria,-0.02926716311
Nicaragua,-0.01182582823
Netherlands,-0.01666892559
Norway,0.01958530682
Nepal,0.03914111879
New Zealand,0.01868187771
Oman,0.04544260067
Pakistan,0.02435644144
Panama,-0.005031709271
Peru,-0.01315830695
Philippines,-0.03062347519
Poland,0.02834847556
Portugal,-0.01433141302
Paraguay,-0.002038073581
State of Palestine,-0.0286667254
Qatar,-0.1741768363
Romania,0.02608397133
Rwanda,-0.003978214377
Saudi Arabia,-0.1589099529
Sudan,-0.01298512396
Senegal,0.0489587472
Singapore,0.003907482635
Sierra Leone,0.01272141058
El Salvador,-0.02160546738
Sao Tome and Principe,-0.05031793746
Suriname,0.01505945226
Sweden,0.02417243992
Eswatini,0.02450495186
Seychelles,-0.03116961578
Syrian Arab Republic,-0.05479792914
Turks and Caicos Islands,0.03873194595
Chad,0.05782300978
Togo,-0.07805660647
Thailand,0.02736840701
Trinidad and Tobago,-0.05137511309
Tunisia,0.02090013741
Turkey,0.03032173643
Taiwan,0.04499250675
U.R. of Tanzania: Mainland,0.0004781223524
Uganda,0.01035431493
Uruguay,-0.05214570072
United States,0.02171304268
St. Vincent and the Grenadines,0.02282170676
Venezuela (Bolivarian Republic of),-0.04454420134
British Virgin Islands,-0.03516380418
Viet Nam,0.01573190699
South Africa,-0.009221764295
Zambia,0.04257513118
Zimbabwe,0.05082006774
